Twitter Username,Post,Date Posted
@AzizAisy1,Steady Pak Cik . We r behind u . #KerajaanGagal,"Dec 20, 2021"
@AzizulArkaan,"So you want us to call for an emergency meeting? Ok, lets have in 13 days time. What is the rush anyway? #KerajaanGagal","Jan 7, 2022"
@AzriNurhafiz,"so GPS and GRS will work with that racist asshole party? NOTED

#KerajaanGagal 2.0 kan?","Nov 20, 2022"
@B2utifuLight,"We are self-governed after all, the, parliament isn't functioning as it should be, everything is so fucked up, tell me how the people should have trust in you? #KerajaanGagal sentiasa mengecewakan ","Dec 20, 2021"
@B69Adam,"i think sabri misspelled #KerajaanGagal, its kerajaan....gagal... not #KeluargaMalaysia","Aug 22, 2021"
@BP_4EVA_85,"If you still plan to vote for the blue aka dacing, you deserved all these shit that you're getting and more in the future! #KerajaanGagal","Nov 9, 2022"
@BRB41315783,"If Ismail Sabri become next PM, is it means he control by President of UMNO?
How about Bersatu? Now it's ok to work together with someone pull you down 

#samegov
#samekerajaangagal
#kerajaangagal
#UMNO
#Bersatu","Aug 19, 2021"
@BShelfz,"""Kerajaan Gagal"" Malaysia will never be a world class unless all races are equal.  The rich Malay cronies will keep on promoting ""Ketuanan Melayu"" and the Sultans just keep quiet. Puppets of the Prime Minister and Ulamas.  
#Notoracism #KerajaanGagal","Oct 3, 2021"
@BShelfz,"Ajaran Sesat - If a Muslim commits , rape of child, adultery, murder, accept bribery, create hatred to another religion but prays everyday ... is better than anyone that doesn't commit the crime and don't pray, do you agree ?
#KerajaanGagal #KeluargaMalaysia","Sep 12, 2021"
@BShelfz,"All Educations should be equal to all.  Having quota causes more harm to the country.  Standards are deteriorating !!
#KerajaanGagal #KeluargaMalaysia","Sep 12, 2021"
@BShelfz,"Ex-PM says don't say Sarawakian or Sabahan.  Should call themselves as Malaysians. Then how about those born, raise and contribute to Malaysia and not Malays but labelled as ""Pendatang"". Government buat tak tau and buat bodoh 
#KerajaanGagal #kerajaaangagal2","Sep 8, 2021"
